data panen,modal,data penjualan
4.7,37000,117500
3.7,37000,92500
1,37000,25000
2.5,37000,62500
2.7,37000,67500
2.5,37000,62500
3.9,37000,97500
2.8,37000,70000
4.9,37000,122500
4.2,37000,105000
3,37000,75000
4,37000,100000
3.6,37000,90000
4.9,37000,122500
5.8,37000,145000
5.6,37000,140000
4.2,37000,105000
2.7,37000,67500
4,37000,100000
5.8,37000,145000
5.6,37000,140000
7.6,37000,190000
7.7,37000,192500
7.2,37000,180000
6.7,37000,167500
6.7,37000,167500
6.1,37000,152500
6.5,37000,162500
4.9,37000,122500
2.8,37000,70000
2,37000,50000
3,37000,75000
3.5,37000,87500
6.7,37000,167500
5.5,37000,137500
5.7,37000,142500
6.5,37000,162500
6.2,37000,155000
2.8,37000,70000
3.4,37000,85000
2.9,37000,72500
3,37000,75000
3.4,37000,85000
4.2,37000,105000
3.3,37000,82500
1.6,37000,40000
3.4,37000,85000
4.3,37000,107500
5.2,37000,130000
4.3,37000,107500
3.1,37000,77500
2.8,37000,70000
3.8,37000,95000
4.9,37000,122500
6.6,37000,165000
7,37000,175000
5.5,37000,137500
4,37000,100000
3.4,37000,85000
2.2,37000,55000
2.3,37000,57500
2.8,37000,70000
3.5,37000,87500
4,37000,100000
7,37000,175000
6.3,37000,157500
9.1,37000,227500
8.2,37000,205000
3.6,37000,90000
2.7,37000,67500
3.6,37000,90000
4.2,37000,105000
6,37000,150000
7.3,37000,182500
8,37000,200000
9.8,37000,245000
10.2,37000,255000
8,37000,200000
7.5,37000,187500
7.7,37000,192500
4.1,37000,102500
4.6,37000,115000
.,37000,........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
2.9,37000,72500
2.7,37000,67500
4.1,37000,102500
3.2,37000,80000
2.7,37000,67500
3.2,37000,80000
1,37000,25000
7,37000,175000
7.4,37000,185000
8.9,37000,222500
8.8,37000,220000
6.2,37000,155000
4.5,37000,112500
3.2,37000,80000
3.2,37000,80000
4.3,37000,107500
5.3,37000,132500
6.8,37000,170000
5.8,37000,145000
3.8,37000,95000
3.1,37000,77500
3.4,37000,85000
2.1,37000,52500
3.1,37000,77500
2.8,37000,70000
35,37000,875000
3.5,37000,87500
2.9,37000,72500
1.7,37000,42500
3.1,37000,77500
2.9,37000,72500
5.2,37000,130000
6,37000,150000
7,37000,175000
7.2,37000,180000
5.2,37000,130000
3.8,37000,95000
3.3,37000,82500
6,37000,150000
10.8,37000,270000
7.3,37000,182500
5.2,37000,130000
5.6,37000,140000
6.2,37000,155000
3.8,37000,95000
6.5,37000,162500
5.6,37000,140000
5.1,37000,127500
7.7,37000,192500
4.7,37000,117500
2.6,37000,65000
4.2,37000,105000
5,37000,125000
3.5,37000,87500
4.2,37000,105000
4.8,37000,120000
3.7,37000,92500
3.6,37000,90000
1.9,37000,47500
3.2,37000,80000
3.3,37000,82500
3.8,37000,95000
4.5,37000,112500
4,37000,100000
4.3,37000,107500
3.5,37000,87500
2.6,37000,65000
3.3,37000,82500
4.8,37000,120000
3.7,37000,92500
3,37000,75000
4.7,37000,117500
4.2,37000,105000
6.2,37000,155000
6,37000,150000
4,37000,100000
4,37000,100000
3.6,37000,90000
3.5,37000,87500
3.5,37000,87500
3.1,37000,77500
5,37000,125000
6,37000,150000
5,37000,125000
5.5,37000,137500
4,37000,100000
4,37000,100000
3,37000,75000
3,37000,75000
2.8,37000,70000
2.6,37000,65000
3.5,37000,87500
2.5,37000,62500
3.1,37000,77500
3.5,37000,87500
3.2,37000,80000
2.8,37000,70000
4,37000,100000
4,37000,100000
3.6,37000,90000
3.5,37000,87500
3.5,37000,87500
4.5,37000,112500
5.5,37000,137500
4.8,37000,120000
3.3,37000,82500
2.6,37000,65000
3,37000,75000
2.5,37000,62500
3.7,37000,92500
3,37000,75000
3.7,37000,92500
4.5,37000,112500
3.5,37000,87500
3.5,37000,87500
2.5,37000,62500
3,37000,75000
5.5,37000,137500
4,37000,100000
4.5,37000,112500
4,37000,100000
2.5,37000,62500
3,37000,75000
2,37000,50000
1.5,37000,37500
1.3,37000,32500
1,37000,25000
2.3,37000,57500
2,37000,50000
4,37000,100000
5.5,37000,137500
5,37000,125000
4,37000,100000
1,37000,25000
1,37000,25000
3,37000,75000
2,37000,50000
1.5,37000,37500
2.5,37000,62500
3,37000,75000
2,37000,50000
4,37000,100000
5,37000,125000
5.5,37000,137500
4.5,37000,112500
2.7,37000,67500
3,37000,75000
3.5,37000,87500
0,37000,0
0,37000,0
3,37000,75000
3.5,37000,87500
2.5,37000,62500
2,37000,50000
1.5,37000,37500
1.5,37000,37500
1.9,37000,47500
0.8,37000,20000
1.7,37000,42500
0.8,37000,20000
0.9,37000,22500
0.4,37000,10000
0.7,37000,17500
3,37000,75000
4,37000,100000
3,37000,75000
3.5,37000,87500
0,37000,0
2.1,37000,52500
0.8,37000,20000
1.4,37000,35000
1,37000,25000
0.6,37000,15000
3.7,37000,92500
1.5,37000,37500
1.5,37000,37500
1.7,37000,42500
1.4,37000,35000
5.8,37000,145000
7.6,37000,190000
7,37000,175000
5.6,37000,140000
5.3,37000,132500
3.3,37000,82500
1.9,37000,47500
2.4,37000,60000
2.5,37000,62500
2.6,37000,65000
4.3,37000,107500
3.8,37000,95000
4.5,37000,112500
4.1,37000,102500
3,37000,75000
4.4,37000,110000
6.8,37000,170000
1.6,37000,40000
1,37000,25000
1.9,37000,47500
2.3,37000,57500
2,37000,50000
2,37000,50000
2,37000,50000
1.7,37000,42500
1,37000,25000
0.7,37000,17500
1,37000,25000
2,37000,50000
2,37000,50000
1.2,37000,30000
2.3,37000,57500
4.9,37000,122500
4.2,37000,105000
5.5,37000,137500
5.8,37000,145000
2.4,37000,60000
6.5,37000,162500
4.5,37000,112500
4.5,37000,112500
5.8,37000,145000
8.2,37000,205000
5.5,37000,137500
1.4,37000,35000
0,37000,0
2,37000,50000
0,37000,0
0.3,37000,7500
1,37000,25000
1.5,37000,37500
2,37000,50000
2.5,37000,62500
1.4,37000,35000
1.7,37000,42500
6.3,37000,157500
5.1,37000,127500
4.3,37000,107500
3.5,37000,87500
6.5,37000,162500
6.3,37000,157500
5.1,37000,127500
3.3,37000,82500
2.5,37000,62500
2.6,37000,65000
1,37000,25000
0,37000,0
1.9,37000,47500
3.5,37000,87500
3,37000,75000
3,37000,75000
3.2,37000,80000
4.3,37000,107500
4.1,37000,102500
1.3,37000,32500
1.5,37000,37500
3.9,37000,97500
3.1,37000,77500
6.6,37000,165000
4.4,37000,110000
4.9,37000,122500
2.7,37000,67500
3,37000,75000
3.8,37000,95000
4.4,37000,110000
4.5,37000,112500
4,37000,100000
3.5,37000,87500
5.5,37000,137500
3,37000,75000
3.7,37000,92500
2.3,37000,57500
3.2,37000,80000
2,37000,50000
2.2,37000,55000
1.5,37000,37500
2,37000,50000
4,37000,100000
5.3,37000,132500
4.3,37000,107500
4,37000,100000
5,37000,125000
4.2,37000,105000
3.5,37000,87500
